date,price
3/16/2024,279.75
4/1/2024,289.41
4/16/2024,293.94
5/1/2024,288.49
5/15/2024,273.1
6/1/2024,268.36
6/15/2024,258.16
7/1/2024,265.61
7/15/2024,275.6
8/1/2024,269.43
8/14/2024,260.96
9/1/2024,259.1
9/16/2024,249.1
10/1/2024,247.03
10/16/2024,247.03
11/1/2024,248.38
12/1/2024,252.1
12/16/2024,252.1
12/31/2024,252.66
1/16/2025,256.13
1/31/2025,257.13
